,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
157,Gold,2.7680000000000002,2019-07-19,Open,Sell,1465,0,2.6639999999965767,4057.783999999997
158,Gold,2.767,2019-07-22,Open,Buy,0,1466,4057.783999999997,1.3619999999968968
159,Gold,2.7430000000000003,2019-07-26,Open,Sell,1466,0,1.3619999999968968,4022.599999999997
160,Gold,2.7439999999999998,2019-07-29,Open,Buy,0,1465,4022.599999999997,2.639999999997599
161,Gold,2.612,2019-08-02,Close,Sell,1465,0,2.639999999997599,3829.2199999999975
162,Gold,2.6,2019-08-05,Open,Buy,0,1472,3829.2199999999975,2.0199999999972533
163,Gold,2.637,2019-08-09,Open,Sell,1472,0,2.0199999999972533,3883.6839999999975
164,Gold,2.622,2019-08-12,Open,Buy,0,1481,3883.6839999999975,0.501999999997679
165,Gold,2.628,2019-08-16,Close,Sell,1481,0,0.501999999997679,3892.569999999998
166,Gold,2.654,2019-08-19,Open,Buy,0,1466,3892.569999999998,1.805999999998221
167,Gold,2.563,2019-08-23,Close,Sell,1466,0,1.805999999998221,3759.1639999999984
168,Gold,2.573,2019-08-26,Open,Buy,0,1461,3759.1639999999984,0.010999999998603016
169,Gold,2.576,2019-08-30,Close,Sell,1461,0,0.010999999998603016,3763.5469999999987
170,Gold,2.557,2019-09-01,Open,Buy,0,1471,3763.5469999999987,2.1999999999989086
171,Gold,2.659,2019-09-06,Open,Sell,1471,0,2.1999999999989086,3913.5889999999986
172,Gold,2.641,2019-09-09,Open,Buy,0,1481,3913.5889999999986,2.267999999998665
173,Gold,2.701,2019-09-13,Open,Sell,1481,0,2.267999999998665,4002.4489999999987
174,Gold,2.685,2019-09-16,Open,Buy,0,1490,4002.4489999999987,1.798999999998614
175,Gold,2.636,2019-09-20,Open,Sell,1490,0,1.798999999998614,3929.438999999999
176,Gold,2.6,2019-09-23,Open,Buy,0,1511,3929.438999999999,0.8389999999990323
177,Gold,2.6180000000000003,2019-09-27,Open,Sell,1511,0,0.8389999999990323,3956.6369999999997
178,Gold,2.638,2019-09-30,Open,Buy,0,1499,3956.6369999999997,2.275000000000091
179,Gold,2.582,2019-10-04,Close,Sell,1499,0,2.275000000000091,3872.6929999999998
