Date,iShares Int High Yield BondEtf_Open_average,iShares Int High Yield BondEtf_Open_max,iShares Int High Yield BondEtf_Open_min,iShares Int High Yield BondEtf_High_average,iShares Int High Yield BondEtf_High_max,iShares Int High Yield BondEtf_High_min,iShares Int High Yield BondEtf_Low_average,iShares Int High Yield BondEtf_Low_max,iShares Int High Yield BondEtf_Low_min,iShares Int High Yield BondEtf_Close_average,iShares Int High Yield BondEtf_Close_max,iShares Int High Yield BondEtf_Close_min
2019-12-01,1.370862091592626,1.370862091592626,1.370862091592626,1.2938546604995362,1.2938546604995362,1.2938546604995362,1.3316184192256089,1.3316184192256089,1.3316184192256089,1.3153718402387564,1.3153718402387564,1.3153718402387564
2019-12-08,2.2844208245301627,2.2844208245301627,2.2844208245301627,2.202610089189901,2.202610089189901,2.202610089189901,1.9922901833130866,1.9922901833130866,1.9922901833130866,1.9622039347208085,1.9622039347208085,1.9622039347208085
2019-12-15,0.557220826517597,0.557220826517597,0.557220826517597,0.6416474046140507,0.6416474046140507,0.6416474046140507,0.5563053307089325,0.5563053307089325,0.5563053307089325,0.7326743289525794,0.7326743289525794,0.7326743289525794
2019-12-22,1.2255111506189662,1.2255111506189662,1.2255111506189662,1.208963526604158,1.208963526604158,1.208963526604158,1.2510307443652686,1.2510307443652686,1.2510307443652686,1.1920488747762137,1.1920488747762137,1.1920488747762137
2019-12-29,1.1079080674005648,1.1079080674005648,1.1079080674005648,1.139607117403942,1.139607117403942,1.139607117403942,1.2278465022081604,1.2278465022081604,1.2278465022081604,1.146108808118805,1.146108808118805,1.146108808118805
2020-01-05,0.5398283586921826,0.5398283586921826,0.5398283586921826,0.5925473147494787,0.5925473147494787,0.5925473147494787,0.6551835159291879,0.6551835159291879,0.6551835159291879,0.6763748979318762,0.6763748979318762,0.6763748979318762
2020-01-12,0.5441041773744885,0.5441041773744885,0.5441041773744885,0.491018592350091,0.491018592350091,0.491018592350091,0.655046597949969,0.655046597949969,0.655046597949969,0.5490302152053306,0.5490302152053306,0.5490302152053306
2020-01-19,-0.4325553174530389,-0.4325553174530389,-0.4325553174530389,-0.5909476422440623,-0.5909476422440623,-0.5909476422440623,-0.4684537054157773,-0.4684537054157773,-0.4684537054157773,-0.520950708914697,-0.520950708914697,-0.520950708914697
2020-01-26,-0.23198968794154934,-0.23198968794154934,-0.23198968794154934,-0.2603219132050013,-0.2603219132050013,-0.2603219132050013,-0.1581653259969025,-0.1581653259969025,-0.1581653259969025,-0.19824276215877915,-0.19824276215877915,-0.19824276215877915
2020-02-02,-1.0419059090418097,-1.0419059090418097,-1.0419059090418097,-1.1886126895415994,-1.1886126895415994,-1.1886126895415994,-1.0522200366024745,-1.0522200366024745,-1.0522200366024745,-1.2501128903007752,-1.2501128903007752,-1.2501128903007752
