Date,BKEAY_Open_average,BKEAY_Open_max,BKEAY_Open_min,BKEAY_Open_volatility,BKEAY_Open_change,BKEAY_High_average,BKEAY_High_max,BKEAY_High_min,BKEAY_High_volatility,BKEAY_High_change,BKEAY_Low_average,BKEAY_Low_max,BKEAY_Low_min,BKEAY_Low_volatility,BKEAY_Low_change,BKEAY_Close_average,BKEAY_Close_max,BKEAY_Close_min,BKEAY_Close_volatility,BKEAY_Close_change,BKEAY_Volume_average,BKEAY_Volume_max,BKEAY_Volume_min,BKEAY_Volume_volatility,BKEAY_Volume_change
2016-12-11,4.056666666666667,4.2,3.97,0.22999999999999998,-0.22999999999999998,4.056666666666667,4.2,3.97,0.22999999999999998,-0.22999999999999998,4.003333333333334,4.08,3.93,0.1499999999999999,-0.1499999999999999,4.043333333333333,4.2,3.93,0.27,-0.27,6533,17501,650,16851,-16851
2016-12-18,3.8333333333333335,3.85,3.8,0.050000000000000266,0.050000000000000266,3.8413333333333335,3.85,3.824,0.026000000000000245,0.026000000000000245,3.83,3.85,3.8,0.050000000000000266,0.040000000000000036,3.83,3.85,3.8,0.050000000000000266,0.040000000000000036,8733,16000,200,15800,-15800
2016-12-25,3.8049999999999997,3.86,3.75,0.10999999999999988,-0.10999999999999988,3.83,3.86,3.8,0.06000000000000005,-0.06000000000000005,3.775,3.8,3.75,0.04999999999999982,-0.04999999999999982,3.8,3.8,3.8,0.0,0.0,1310,2143,477,1666,-1666
2017-01-01,3.9245,4.01,3.8480000000000003,0.16199999999999948,0.08199999999999985,3.965,4.05,3.87,0.17999999999999972,0.17999999999999972,3.9245,4.01,3.8480000000000003,0.16199999999999948,0.08199999999999985,3.9375,4.01,3.87,0.13999999999999968,0.08999999999999986,4654,16377,191,16186,15237
2017-01-08,4.015000000000001,4.04,3.99,0.04999999999999982,-0.04999999999999982,4.015000000000001,4.04,3.99,0.04999999999999982,-0.04999999999999982,4.015000000000001,4.04,3.99,0.04999999999999982,-0.04999999999999982,4.015000000000001,4.04,3.99,0.04999999999999982,-0.04999999999999982,1601,2640,562,2078,-2078
2017-01-15,4.0225,4.03,4.015,0.015000000000000568,0.015000000000000568,4.0225,4.03,4.015,0.015000000000000568,0.015000000000000568,4.015000000000001,4.03,4.0,0.03000000000000025,0.03000000000000025,4.015000000000001,4.03,4.0,0.03000000000000025,0.03000000000000025,1925,3300,550,2750,-2750
2017-01-22,4.113333333333333,4.19,4.05,0.14000000000000057,0.14000000000000057,4.1433333333333335,4.28,4.05,0.23000000000000043,0.23000000000000043,4.113333333333333,4.19,4.05,0.14000000000000057,0.14000000000000057,4.12,4.21,4.05,0.16000000000000014,0.16000000000000014,2315,4222,968,3254,3254
2017-01-29,4.255,4.255,4.255,0.0,0.0,4.255,4.255,4.255,0.0,0.0,4.255,4.255,4.255,0.0,0.0,4.255,4.255,4.255,0.0,0.0,625,625,625,0,0
2017-02-05,4.198,4.247,4.165,0.08199999999999985,0.08199999999999985,4.198,4.247,4.165,0.08199999999999985,0.08199999999999985,4.18375,4.23,4.14,0.09000000000000075,0.06500000000000039,4.18375,4.23,4.14,0.09000000000000075,0.06500000000000039,1465,4100,396,3704,-336
2017-02-12,4.33,4.38,4.3,0.08000000000000007,0.0,4.33925,4.387,4.3,0.08699999999999974,0.0,4.295,4.38,4.16,0.21999999999999975,-0.13999999999999968,4.3125,4.38,4.2,0.17999999999999972,-0.09999999999999964,5565,11100,100,11000,5861
2017-02-19,4.150333333333333,4.16,4.141,0.019000000000000128,0.009999999999999787,4.1866666666666665,4.23,4.15,0.08000000000000007,0.08000000000000007,4.15,4.16,4.14,0.020000000000000462,0.009999999999999787,4.173333333333334,4.23,4.14,0.09000000000000075,0.08000000000000007,890,1525,416,1109,-314
2017-02-26,4.1475,4.205,4.09,0.11500000000000021,-0.11500000000000021,4.1475,4.205,4.09,0.11500000000000021,-0.11500000000000021,4.1475,4.205,4.09,0.11500000000000021,-0.11500000000000021,4.1475,4.205,4.09,0.11500000000000021,-0.11500000000000021,1082,1584,581,1003,1003
2017-03-05,4.045,4.05,4.04,0.009999999999999787,0.009999999999999787,4.045,4.05,4.04,0.009999999999999787,0.009999999999999787,4.045,4.05,4.04,0.009999999999999787,0.009999999999999787,4.045,4.05,4.04,0.009999999999999787,0.009999999999999787,170,221,120,101,101
2017-03-12,4.0767500000000005,4.14,4.022,0.11799999999999944,0.06500000000000039,4.0767500000000005,4.14,4.022,0.11799999999999944,0.06500000000000039,4.053,4.14,4.01,0.1299999999999999,0.03000000000000025,4.053,4.14,4.01,0.1299999999999999,0.03000000000000025,712,1600,150,1450,1026
2017-03-19,4.07,4.07,4.07,0.0,0.0,4.09,4.09,4.09,0.0,0.0,4.07,4.07,4.07,0.0,0.0,4.09,4.09,4.09,0.0,0.0,4001,4001,4001,0,0
2017-03-26,4.05,4.08,4.02,0.0600000000000005,0.0600000000000005,4.055,4.09,4.02,0.07000000000000028,0.07000000000000028,4.05,4.08,4.02,0.0600000000000005,0.0600000000000005,4.055,4.09,4.02,0.07000000000000028,0.07000000000000028,1754,3400,109,3291,3291
2017-04-02,4.01,4.01,4.01,0.0,0.0,4.01,4.01,4.01,0.0,0.0,4.01,4.01,4.01,0.0,0.0,4.01,4.01,4.01,0.0,0.0,105,105,105,0,0
2017-04-09,3.985,3.985,3.985,0.0,0.0,3.985,3.985,3.985,0.0,0.0,3.985,3.985,3.985,0.0,0.0,3.985,3.985,3.985,0.0,0.0,732,732,732,0,0
2017-04-16,3.87,3.87,3.87,0.0,0.0,3.87,3.87,3.87,0.0,0.0,3.87,3.87,3.87,0.0,0.0,3.87,3.87,3.87,0.0,0.0,1001,1001,1001,0,0
2017-04-23,4.02,4.02,4.02,0.0,0.0,4.07,4.07,4.07,0.0,0.0,4.02,4.02,4.02,0.0,0.0,4.07,4.07,4.07,0.0,0.0,8600,8600,8600,0,0
2017-04-30,4.08,4.08,4.08,0.0,0.0,4.08,4.08,4.08,0.0,0.0,4.05,4.05,4.05,0.0,0.0,4.05,4.05,4.05,0.0,0.0,2069,2069,2069,0,0
2017-05-07,4.11,4.11,4.11,0.0,0.0,4.11,4.11,4.11,0.0,0.0,4.11,4.11,4.11,0.0,0.0,4.11,4.11,4.11,0.0,0.0,1901,1901,1901,0,0
2017-05-14,4.128,4.162,4.1,0.06200000000000028,-0.06200000000000028,4.13,4.17,4.1,0.07000000000000028,-0.07000000000000028,4.1125,4.15,4.05,0.10000000000000053,-0.10000000000000053,4.115,4.15,4.06,0.09000000000000075,-0.09000000000000075,4506,9893,101,9792,-2744
2017-05-21,4.07275,4.13,4.03,0.09999999999999964,0.03699999999999992,4.08275,4.13,4.038,0.09199999999999964,0.03699999999999992,4.0645,4.13,4.03,0.09999999999999964,0.07000000000000028,4.0665000000000004,4.13,4.03,0.09999999999999964,0.06199999999999939,2821,6848,264,6584,-3578
2017-05-28,4.13,4.14,4.12,0.019999999999999574,0.019999999999999574,4.13,4.14,4.12,0.019999999999999574,0.019999999999999574,4.13,4.14,4.12,0.019999999999999574,0.019999999999999574,4.13,4.14,4.12,0.019999999999999574,0.019999999999999574,1647,2273,1021,1252,-1252
2017-06-04,4.1850000000000005,4.22,4.15,0.0699999999999994,0.0699999999999994,4.220000000000001,4.24,4.2,0.040000000000000036,0.040000000000000036,4.1850000000000005,4.22,4.15,0.0699999999999994,0.0699999999999994,4.21,4.22,4.2,0.019999999999999574,0.019999999999999574,6213,11004,1422,9582,-9582
2017-06-11,4.19,4.19,4.19,0.0,0.0,4.218,4.218,4.218,0.0,0.0,4.19,4.19,4.19,0.0,0.0,4.19,4.19,4.19,0.0,0.0,7059,7059,7059,0,0
2017-06-18,4.2545,4.255,4.254,0.001000000000000334,0.001000000000000334,4.2545,4.255,4.254,0.001000000000000334,0.001000000000000334,4.2425,4.255,4.23,0.024999999999999467,0.024999999999999467,4.2425,4.255,4.23,0.024999999999999467,0.024999999999999467,300,430,171,259,-259
2017-06-25,4.264,4.2780000000000005,4.25,0.02800000000000047,0.02800000000000047,4.264,4.2780000000000005,4.25,0.02800000000000047,0.02800000000000047,4.264,4.2780000000000005,4.25,0.02800000000000047,0.02800000000000047,4.264,4.2780000000000005,4.25,0.02800000000000047,0.02800000000000047,736,1101,372,729,-729
2017-07-02,4.15,4.15,4.15,0.0,0.0,4.15,4.15,4.15,0.0,0.0,4.15,4.15,4.15,0.0,0.0,4.15,4.15,4.15,0.0,0.0,1000,1000,1000,0,0
2017-07-09,4.2059999999999995,4.35,4.098,0.2519999999999998,0.2519999999999998,4.2059999999999995,4.35,4.098,0.2519999999999998,0.2519999999999998,4.19,4.33,4.08,0.25,0.25,4.19,4.33,4.08,0.25,0.25,7490,16000,384,15616,15616
2017-07-16,4.223333333333334,4.24,4.21,0.03000000000000025,-0.03000000000000025,4.223333333333334,4.24,4.21,0.03000000000000025,-0.03000000000000025,4.223333333333334,4.24,4.21,0.03000000000000025,-0.03000000000000025,4.223333333333334,4.24,4.21,0.03000000000000025,-0.03000000000000025,3562,10100,208,9892,-9892
2017-07-23,4.19,4.19,4.19,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.19,4.19,4.19,0.0,0.0,4.3,4.3,4.3,0.0,0.0,501,501,501,0,0
2017-07-30,4.24,4.24,4.24,0.0,0.0,4.305,4.305,4.305,0.0,0.0,4.24,4.24,4.24,0.0,0.0,4.24,4.24,4.24,0.0,0.0,2480,2480,2480,0,0
2017-08-06,4.27,4.27,4.27,0.0,0.0,4.27,4.27,4.27,0.0,0.0,4.27,4.27,4.27,0.0,0.0,4.27,4.27,4.27,0.0,0.0,2301,2301,2301,0,0
2017-08-13,4.178,4.178,4.178,0.0,0.0,4.178,4.178,4.178,0.0,0.0,4.178,4.178,4.178,0.0,0.0,4.178,4.178,4.178,0.0,0.0,854,854,854,0,0
2017-08-20,4.307,4.4,4.2139999999999995,0.18600000000000083,0.18600000000000083,4.307,4.4,4.2139999999999995,0.18600000000000083,0.18600000000000083,4.276999999999999,4.34,4.2139999999999995,0.12600000000000033,0.12600000000000033,4.276999999999999,4.34,4.2139999999999995,0.12600000000000033,0.12600000000000033,1433,2646,221,2425,2425
2017-08-27,4.426666666666667,4.47,4.38,0.08999999999999986,0.040000000000000036,4.4383333333333335,4.5,4.38,0.1200000000000001,0.06500000000000039,4.426666666666667,4.47,4.38,0.08999999999999986,0.040000000000000036,4.4366666666666665,4.5,4.38,0.1200000000000001,0.07000000000000028,11782,19129,100,19029,3011
2017-09-03,4.55,4.61,4.45,0.16000000000000014,-0.16000000000000014,4.55,4.61,4.45,0.16000000000000014,-0.16000000000000014,4.55,4.61,4.45,0.16000000000000014,-0.16000000000000014,4.55,4.61,4.45,0.16000000000000014,-0.16000000000000014,360,518,163,355,237
2017-09-10,4.4575,4.555,4.36,0.1949999999999994,0.1949999999999994,4.4575,4.555,4.36,0.1949999999999994,0.1949999999999994,4.4575,4.555,4.36,0.1949999999999994,0.1949999999999994,4.4575,4.555,4.36,0.1949999999999994,0.1949999999999994,271,415,127,288,-288
2017-09-17,4.3,4.3,4.3,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.3,4.3,4.3,0.0,0.0,301,301,301,0,0
2017-09-24,4.2989999999999995,4.348,4.25,0.09799999999999986,-0.09799999999999986,4.3149999999999995,4.38,4.25,0.1299999999999999,-0.1299999999999999,4.2989999999999995,4.348,4.25,0.09799999999999986,-0.09799999999999986,4.3149999999999995,4.38,4.25,0.1299999999999999,-0.1299999999999999,806,1188,425,763,763
