Date,Global X SuperDividend REIT_etf_Open_average,Global X SuperDividend REIT_etf_Open_max,Global X SuperDividend REIT_etf_Open_min,Global X SuperDividend REIT_etf_Open_volatility,Global X SuperDividend REIT_etf_Open_change,Global X SuperDividend REIT_etf_High_average,Global X SuperDividend REIT_etf_High_max,Global X SuperDividend REIT_etf_High_min,Global X SuperDividend REIT_etf_High_volatility,Global X SuperDividend REIT_etf_High_change,Global X SuperDividend REIT_etf_Low_average,Global X SuperDividend REIT_etf_Low_max,Global X SuperDividend REIT_etf_Low_min,Global X SuperDividend REIT_etf_Low_volatility,Global X SuperDividend REIT_etf_Low_change,Global X SuperDividend REIT_etf_Close_average,Global X SuperDividend REIT_etf_Close_max,Global X SuperDividend REIT_etf_Close_min,Global X SuperDividend REIT_etf_Close_volatility,Global X SuperDividend REIT_etf_Close_change
2019-01-20,14.74,14.74,14.74,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.83,14.83,14.83,0.0,0.0
2019-01-27,15.26,15.26,15.26,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2019-02-03,15.05,15.05,15.05,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2019-02-10,14.92,14.92,14.92,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2019-02-17,14.94,14.94,14.94,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2019-02-24,14.84,14.84,14.84,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.77,14.77,14.77,0.0,0.0
2019-03-03,14.55,14.55,14.55,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2019-03-10,14.85,14.85,14.85,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2019-03-17,14.92,14.92,14.92,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.78,14.78,14.78,0.0,0.0
2019-03-24,15.08,15.08,15.08,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2019-03-31,15.1,15.1,15.1,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2019-04-07,15.17,15.17,15.17,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2019-04-14,15.03,15.03,15.03,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2019-04-21,15.2,15.2,15.2,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2019-04-28,15.06,15.06,15.06,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2019-05-05,14.76,14.76,14.76,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2019-05-12,14.89,14.89,14.89,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2019-05-19,14.81,14.81,14.81,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2019-05-26,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.49,14.49,14.49,0.0,0.0
2019-06-02,14.62,14.62,14.62,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2019-06-09,14.77,14.77,14.77,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2019-06-16,14.93,14.93,14.93,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2019-06-23,14.73,14.73,14.73,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2019-06-30,14.88,14.88,14.88,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2019-07-07,14.98,14.98,14.98,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.97,14.97,14.97,0.0,0.0
