Date,IBA_Open_average,IBA_Open_max,IBA_Open_min,IBA_Open_volatility,IBA_Open_change,IBA_High_average,IBA_High_max,IBA_High_min,IBA_High_volatility,IBA_High_change,IBA_Low_average,IBA_Low_max,IBA_Low_min,IBA_Low_volatility,IBA_Low_change,IBA_Close_average,IBA_Close_max,IBA_Close_min,IBA_Close_volatility,IBA_Close_change,IBA_Volume_average,IBA_Volume_max,IBA_Volume_min,IBA_Volume_volatility,IBA_Volume_change
2019-03-17,46.378,47.27,45.99,1.2800000000000011,1.2800000000000011,47.036,48.16,46.5,1.6599999999999966,0.5200000000000031,45.824,46.42,44.71,1.7100000000000009,0.4299999999999997,46.54,47.98,45.58,2.3999999999999986,0.14999999999999858,13640,35963,2546,33417,2691
2019-03-24,46.634,47.41,45.63,1.779999999999994,1.2399999999999949,47.322,47.68,46.9,0.7800000000000011,-0.46999999999999886,46.124,46.73,45.63,1.0999999999999943,0.35999999999999943,46.696,47.13,46.1,1.0300000000000011,-1.0300000000000011,10450,22514,1646,20868,8135
2019-03-31,45.976,46.54,45.24,1.2999999999999972,-1.2999999999999972,46.546,46.99,46.18,0.8100000000000023,-0.5399999999999991,45.562,46.41,44.9,1.509999999999998,-1.509999999999998,45.81,46.43,45.52,0.9099999999999966,-0.8699999999999974,13591,18349,9654,8695,-4438
2019-04-07,45.806,46.21,45.29,0.9200000000000017,0.21000000000000085,46.244,46.44,46.0,0.4399999999999977,0.05999999999999517,45.366,45.6,45.05,0.5500000000000043,0.19000000000000483,45.852000000000004,46.35,45.23,1.1200000000000045,0.259999999999998,10064,23646,2518,21128,4051
2019-04-14,47.83,50.0,46.02,3.979999999999997,3.979999999999997,48.5675,50.0,46.61,3.3900000000000006,3.3900000000000006,47.5325,48.98,46.02,2.9599999999999937,2.9599999999999937,48.4,49.53,46.5,3.030000000000001,2.9399999999999977,6263,9863,3690,6173,24
2019-04-21,49.286,49.96,48.9,1.0600000000000023,0.28999999999999915,49.722,50.17,49.25,0.9200000000000017,0.3999999999999986,48.652,49.24,47.81,1.4299999999999997,0.9100000000000037,49.436,49.75,48.9,0.8500000000000014,0.01999999999999602,6377,9224,4592,4632,-4105
2019-04-28,49.514,50.21,49.01,1.2000000000000028,0.5700000000000003,50.118,50.7,49.74,0.9600000000000009,0.6900000000000048,49.202,50.01,48.68,1.3299999999999983,0.509999999999998,49.65,50.24,49.0,1.240000000000002,0.740000000000002,10210,36041,2090,33951,-2808
2019-05-05,50.168,51.04,49.39,1.6499999999999986,0.4399999999999977,51.244,51.6,50.66,0.9400000000000048,-0.3500000000000014,48.638,50.05,45.4,4.649999999999999,-0.060000000000002274,50.796,51.5,49.95,1.5499999999999972,-0.3500000000000014,9769,20219,5616,14603,14603
2019-05-12,52.44,54.23,50.26,3.969999999999999,3.969999999999999,53.838,54.88,51.14,3.740000000000002,3.3100000000000023,51.894,53.5,49.72,3.780000000000001,3.6200000000000045,53.338,54.65,50.87,3.780000000000001,2.740000000000002,7547,12538,3540,8998,-3122
2019-05-19,54.606,55.67,53.78,1.8900000000000006,1.8900000000000006,55.14,55.67,54.74,0.9299999999999997,0.7800000000000011,54.126,54.6,53.78,0.8200000000000003,0.0899999999999963,54.546,55.01,54.16,0.8500000000000014,-0.4100000000000037,5183,10543,1345,9198,1067
2019-05-26,53.075,54.71,51.99,2.719999999999999,-1.7100000000000009,53.78,54.71,53.24,1.4699999999999989,-1.25,51.910000000000004,52.7,50.85,1.8500000000000014,-1.8500000000000014,52.985,53.5,52.5,1.0,-0.3200000000000003,7267,11739,3826,7913,5484
2019-06-02,51.818,52.98,51.33,1.6499999999999986,-1.1999999999999957,51.984,52.98,51.6,1.3799999999999955,-1.1199999999999974,50.904,51.36,50.54,0.8200000000000003,0.11999999999999744,51.274,51.36,51.17,0.18999999999999773,-0.03999999999999915,6470,9786,2284,7502,174
2019-06-09,52.286,53.16,51.34,1.8199999999999932,-0.38999999999999346,52.712,53.34,51.34,2.0,-1.6599999999999966,51.092,52.25,49.55,2.700000000000003,-1.7100000000000009,51.872,53.17,50.34,2.8299999999999983,-2.019999999999996,25136,45749,4039,41710,-10273
2019-06-16,51.098,51.97,50.43,1.5399999999999991,0.5700000000000003,51.502,52.26,51.0,1.259999999999998,-0.060000000000002274,49.646,50.61,48.7,1.9099999999999966,0.8100000000000023,50.525999999999996,51.0,50.3,0.7000000000000028,0.12000000000000455,15176,24004,4911,19093,-15517
2019-06-23,50.82,52.25,49.56,2.6899999999999977,0.6400000000000006,51.538,52.65,50.11,2.539999999999999,1.5900000000000034,50.378,51.55,49.45,2.0999999999999943,-0.03999999999999915,51.058,51.97,50.11,1.8599999999999994,0.5600000000000023,6546,9033,3143,5890,5890
2019-06-30,50.7325,51.47,50.05,1.4200000000000017,-0.7900000000000063,51.675,53.41,50.84,2.569999999999993,2.569999999999993,50.0475,50.3,49.81,0.4899999999999949,0.21000000000000085,50.9425,52.9,50.09,2.809999999999995,2.759999999999998,8736,13528,5655,7873,5351
2019-07-07,52.686,53.6,52.0,1.6000000000000014,0.3100000000000023,53.492,54.44,52.23,2.210000000000001,0.25,51.954,52.83,51.22,1.6099999999999994,0.5,52.652,53.6,51.74,1.8599999999999994,0.5499999999999972,9574,27935,2979,24956,23956
2019-07-14,52.83,54.1,51.19,2.9100000000000037,-2.3300000000000054,53.178,54.16,52.0,2.1599999999999966,-1.8699999999999974,52.204,53.49,50.95,2.539999999999999,-2.450000000000003,52.49,53.97,51.04,2.9299999999999997,-2.9299999999999997,3735,7133,2351,4782,3899
2019-07-21,52.01,53.13,50.35,2.780000000000001,1.470000000000006,52.674,53.38,51.66,1.720000000000006,1.470000000000006,51.482,52.67,50.17,2.5,2.1700000000000017,52.212,52.95,50.32,2.6300000000000026,2.6300000000000026,7966,28341,994,27347,1085
2019-07-28,53.089999999999996,53.44,52.01,1.4299999999999997,-1.3400000000000034,53.6,54.26,52.01,2.25,-2.1700000000000017,52.59,53.44,50.84,2.5999999999999943,-2.489999999999995,53.07,54.18,51.14,3.039999999999999,-3.039999999999999,5852,7341,4482,2859,-2060
2019-08-04,51.632000000000005,52.49,50.38,2.1099999999999994,1.5,51.996,52.59,50.99,1.6000000000000014,1.6000000000000014,51.114000000000004,52.25,49.43,2.8200000000000003,2.240000000000002,51.746,52.59,50.41,2.180000000000007,1.7000000000000028,2591,5503,895,4608,-3504
2019-08-11,51.577999999999996,52.4,50.37,2.030000000000001,-0.5,52.182,52.77,51.58,1.1900000000000048,-0.5599999999999952,51.022,52.13,50.05,2.0800000000000054,-0.6200000000000045,51.688,52.74,50.61,2.1300000000000026,-1.2899999999999991,5301,16927,1916,15011,-289
2019-08-18,52.153999999999996,52.75,51.37,1.3800000000000026,1.0300000000000011,52.484,53.17,51.53,1.6400000000000006,1.25,51.436,52.1,50.75,1.3500000000000014,0.8299999999999983,52.27,52.78,51.53,1.25,1.25,9521,26296,1617,24679,22905
2019-08-25,52.682,52.97,52.44,0.5300000000000011,-0.17999999999999972,53.519999999999996,55.01,52.78,2.229999999999997,1.4299999999999997,52.166000000000004,52.59,51.68,0.9100000000000037,0.480000000000004,53.089999999999996,55.01,51.82,3.1899999999999977,1.4299999999999997,5461,7938,2420,5518,-1899
2019-09-01,55.565,56.9,54.57,2.3299999999999983,-0.4299999999999997,56.5,57.0,55.68,1.3200000000000003,1.3200000000000003,54.7725,55.54,54.09,1.4499999999999957,0.4799999999999969,55.45,56.41,54.76,1.6499999999999986,0.9200000000000017,8492,16603,4942,11661,-9283
2019-09-08,55.454,56.0,54.79,1.2100000000000009,0.0,55.746,56.0,55.34,0.6599999999999966,0.0,54.788,54.93,54.5,0.4299999999999997,-0.11999999999999744,55.538000000000004,56.0,55.17,0.8299999999999983,0.5300000000000011,2430,3747,1246,2501,2501
2019-09-15,55.072,55.85,53.57,2.280000000000001,-2.280000000000001,55.274,55.93,53.57,2.3599999999999994,-2.280000000000001,53.868,54.96,51.71,3.25,-3.25,53.984,55.51,51.73,3.780000000000001,-3.780000000000001,4893,6408,1449,4959,4959
2019-09-22,52.158,52.7,51.66,1.0400000000000063,0.21000000000000085,52.798,53.76,52.31,1.4499999999999957,1.4499999999999957,51.91,52.25,51.62,0.6300000000000026,0.3200000000000003,52.564,53.76,51.68,2.0799999999999983,1.509999999999998,4470,8549,1928,6621,1498
