Date,Guggenheim Solar_Open_average,Guggenheim Solar_Open_max,Guggenheim Solar_Open_min,Guggenheim Solar_Open_volatility,Guggenheim Solar_Open_change,Guggenheim Solar_High_average,Guggenheim Solar_High_max,Guggenheim Solar_High_min,Guggenheim Solar_High_volatility,Guggenheim Solar_High_change,Guggenheim Solar_Low_average,Guggenheim Solar_Low_max,Guggenheim Solar_Low_min,Guggenheim Solar_Low_volatility,Guggenheim Solar_Low_change,Guggenheim Solar_Close_average,Guggenheim Solar_Close_max,Guggenheim Solar_Close_min,Guggenheim Solar_Close_volatility,Guggenheim Solar_Close_change
2019-05-19,25.4,25.4,25.4,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2019-05-26,25.68,25.68,25.68,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.68,25.68,25.68,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2019-06-02,27.29,27.29,27.29,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2019-06-09,27.06,27.06,27.06,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2019-06-16,28.08,28.08,28.08,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2019-06-23,28.76,28.76,28.76,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2019-06-30,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2019-07-07,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2019-07-14,29.14,29.14,29.14,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2019-07-21,28.51,28.51,28.51,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2019-07-28,29.37,29.37,29.37,0.0,0.0,29.45,29.45,29.45,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2019-08-04,30.48,30.48,30.48,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2019-08-11,30.71,30.71,30.71,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2019-08-18,30.35,30.35,30.35,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-08-25,30.99,30.99,30.99,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2019-09-01,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-09-08,29.86,29.86,29.86,0.0,0.0,30.29,30.29,30.29,0.0,0.0,29.77,29.77,29.77,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2019-09-15,32.05,32.05,32.05,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.63,31.63,31.63,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2019-09-22,29.36,29.36,29.36,0.0,0.0,29.59,29.59,29.59,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2019-09-29,29.77,29.77,29.77,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2019-10-06,29.92,29.92,29.92,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2019-10-13,29.26,29.26,29.26,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.66,29.66,29.66,0.0,0.0
