Date,EXPR_Open_average,EXPR_Open_max,EXPR_Open_min,EXPR_Open_volatility,EXPR_Open_change,EXPR_High_average,EXPR_High_max,EXPR_High_min,EXPR_High_volatility,EXPR_High_change,EXPR_Low_average,EXPR_Low_max,EXPR_Low_min,EXPR_Low_volatility,EXPR_Low_change,EXPR_Close_average,EXPR_Close_max,EXPR_Close_min,EXPR_Close_volatility,EXPR_Close_change,EXPR_Volume_average,EXPR_Volume_max,EXPR_Volume_min,EXPR_Volume_volatility,EXPR_Volume_change
2019-02-10,5.3375,5.44,5.23,0.20999999999999996,-0.20999999999999996,5.43,5.57,5.32,0.25,-0.25,5.25,5.36,5.16,0.20000000000000018,-0.16000000000000014,5.305,5.39,5.2,0.1899999999999995,-0.09999999999999964,1255234,1644229,863436,780793,780793
2019-02-17,5.274,5.35,5.13,0.21999999999999975,-0.040000000000000036,5.34,5.4,5.22,0.1800000000000006,-0.08999999999999986,5.14,5.29,5.03,0.2599999999999998,-0.09999999999999964,5.232,5.36,5.11,0.25,-0.17999999999999972,1113122,1546675,892738,653937,129090
2019-02-24,5.234,5.36,5.12,0.2400000000000002,0.2400000000000002,5.364,5.54,5.22,0.3200000000000003,0.22000000000000064,5.1160000000000005,5.19,5.04,0.15000000000000036,0.04999999999999982,5.21,5.31,5.15,0.15999999999999925,-0.019999999999999574,1824377,3178392,1250578,1927814,421166
2019-03-03,5.02,5.17,4.89,0.28000000000000025,-0.28000000000000025,5.086,5.2,4.99,0.20999999999999996,-0.16000000000000014,4.898,5.07,4.81,0.2600000000000007,-0.20999999999999996,4.978,5.08,4.89,0.1900000000000004,-0.09999999999999964,1510304,2065035,1032350,1032685,738662
2019-03-10,4.548,5.06,4.27,0.79,-0.79,4.708,5.07,4.37,0.7000000000000002,-0.7000000000000002,4.398,4.84,4.16,0.6799999999999997,-0.6799999999999997,4.53,5.04,4.29,0.75,-0.75,4641212,8117999,1658117,6459882,-97249
2019-03-17,4.118,4.31,3.95,0.35999999999999943,-0.35999999999999943,4.186,4.37,4.1,0.27000000000000046,-0.27000000000000046,3.992,4.19,3.88,0.3100000000000005,-0.3100000000000005,4.064,4.19,3.93,0.26000000000000023,-0.1900000000000004,2167638,2750221,1554462,1195759,-998717
2019-03-24,4.17,4.32,4.03,0.29000000000000004,0.29000000000000004,4.288,4.43,4.17,0.2599999999999998,0.2599999999999998,4.126,4.25,4.0,0.25,0.25,4.208,4.35,4.04,0.3099999999999996,0.3099999999999996,1790720,2061863,1378975,682888,621097
2019-03-31,4.294,4.34,4.23,0.10999999999999943,-0.08000000000000007,4.366,4.42,4.33,0.08999999999999986,-0.08000000000000007,4.23,4.25,4.2,0.04999999999999982,0.009999999999999787,4.284,4.31,4.24,0.0699999999999994,0.019999999999999574,1638646,2261594,1166052,1095542,483278
2019-04-07,4.058,4.27,3.87,0.39999999999999947,-0.39999999999999947,4.086,4.29,3.9,0.3900000000000001,-0.3900000000000001,3.9,4.04,3.69,0.3500000000000001,-0.3500000000000001,3.96,4.12,3.77,0.3500000000000001,-0.3299999999999996,1395085,1745213,990548,754665,-239912
2019-04-14,3.9,4.02,3.78,0.23999999999999977,0.15000000000000036,4.025,4.14,3.93,0.20999999999999952,0.040000000000000036,3.7800000000000002,3.94,3.6,0.33999999999999986,-0.10999999999999988,3.8725,4.01,3.67,0.33999999999999986,-0.18999999999999995,1919562,2547854,1594065,953789,656447
