Date,Deep Value_Open_average,Deep Value_Open_max,Deep Value_Open_min,Deep Value_Open_volatility,Deep Value_Open_change,Deep Value_High_average,Deep Value_High_max,Deep Value_High_min,Deep Value_High_volatility,Deep Value_High_change,Deep Value_Low_average,Deep Value_Low_max,Deep Value_Low_min,Deep Value_Low_volatility,Deep Value_Low_change,Deep Value_Close_average,Deep Value_Close_max,Deep Value_Close_min,Deep Value_Close_volatility,Deep Value_Close_change
2019-02-03,32.02,32.02,32.02,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2019-02-10,32.83,32.83,32.83,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2019-02-17,33.03,33.03,33.03,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2019-02-24,33.16,33.16,33.16,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2019-03-03,31.85,31.85,31.85,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2019-03-10,32.38,32.38,32.38,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2019-03-17,31.77,31.77,31.77,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2019-03-24,32.86,32.86,32.86,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.77,32.77,32.77,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2019-03-31,33.93,33.93,33.93,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2019-04-07,33.66,33.66,33.66,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-04-14,33.72,33.72,33.72,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2019-04-21,32.96,32.96,32.96,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2019-04-28,32.12,32.12,32.12,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2019-05-05,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-05-12,30.55,30.55,30.55,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2019-05-19,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-05-26,28.53,28.53,28.53,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2019-06-02,29.5,29.5,29.5,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2019-06-09,29.55,29.55,29.55,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-06-16,30.39,30.39,30.39,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2019-06-23,31.52,31.52,31.52,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2019-06-30,31.46,31.46,31.46,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2019-07-07,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2019-07-14,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2019-07-21,32.21,32.21,32.21,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2019-07-28,30.54,30.54,30.54,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2019-08-04,30.15,30.15,30.15,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-08-11,29.53,29.53,29.53,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-08-18,28.58,28.58,28.58,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2019-08-25,28.77,28.77,28.77,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2019-09-01,30.27,30.27,30.27,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2019-09-08,31.76,31.76,31.76,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2019-09-15,30.63,30.63,30.63,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2019-09-22,30.42,30.42,30.42,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-09-29,29.24,29.24,29.24,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2019-10-06,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2019-10-13,30.11,30.11,30.11,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2019-10-20,31.26,31.26,31.26,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-10-27,31.5,31.5,31.5,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2019-11-03,32.48,32.48,32.48,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2019-11-10,33.37,33.37,33.37,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2019-11-17,32.69,32.69,32.69,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.64,32.64,32.64,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2019-11-24,32.98,32.98,32.98,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2019-12-01,32.83,32.83,32.83,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2019-12-08,33.37,33.37,33.37,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2019-12-15,33.35,33.35,33.35,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2019-12-22,32.68,32.68,32.68,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2019-12-29,32.2,32.2,32.2,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.96,31.96,31.96,0.0,0.0
