Date,NXST_stock_Open_average,NXST_stock_Open_max,NXST_stock_Open_min,NXST_stock_Open_volatility,NXST_stock_Open_change,NXST_stock_High_average,NXST_stock_High_max,NXST_stock_High_min,NXST_stock_High_volatility,NXST_stock_High_change,NXST_stock_Low_average,NXST_stock_Low_max,NXST_stock_Low_min,NXST_stock_Low_volatility,NXST_stock_Low_change,NXST_stock_Close_average,NXST_stock_Close_max,NXST_stock_Close_min,NXST_stock_Close_volatility,NXST_stock_Close_change,NXST_stock_Volume_average,NXST_stock_Volume_max,NXST_stock_Volume_min,NXST_stock_Volume_volatility,NXST_stock_Volume_change
2019-07-07,108.564,109.96,106.8,3.1599999999999966,-0.5700000000000074,109.744,110.67,107.76,2.9099999999999966,0.5,107.322,109.22,105.89,3.3299999999999983,2.969999999999999,108.386,109.5,106.62,2.8799999999999955,2.0600000000000023,437665,585959,279191,306768,-122820
2019-07-14,106.188,109.35,104.16,5.189999999999998,-4.549999999999997,107.33,110.5,105.08,5.420000000000002,-4.540000000000006,104.012,105.98,101.5,4.480000000000004,-1.5799999999999983,105.086,106.94,103.9,3.039999999999992,-2.239999999999995,382912,486874,294790,192084,-82752
2019-07-21,102.34,104.0,98.93,5.069999999999993,-1.1400000000000006,103.956,105.25,102.79,2.4599999999999937,-1.5400000000000063,100.502,102.29,97.8,4.490000000000009,-0.8000000000000114,101.948,103.05,99.52,3.530000000000001,-1.5,409647,583596,274642,308954,-275265
2019-07-28,102.084,103.41,100.83,2.5799999999999983,-0.769999999999996,103.346,104.73,100.83,3.9000000000000057,-2.460000000000008,100.464,101.52,98.04,3.4799999999999898,-2.9799999999999898,101.696,103.65,98.77,4.88000000000001,-4.030000000000001,391268,514343,333618,180725,30124
2019-08-04,96.55799999999999,97.96,94.9,3.059999999999988,0.23000000000000398,97.63799999999999,98.6,95.8,2.799999999999997,0.8700000000000045,94.566,96.2,90.87,5.329999999999998,0.6700000000000017,97.13,98.1,95.19,2.9099999999999966,0.46999999999999886,813085,1530793,451739,1079054,-229248
2019-08-11,95.282,97.87,92.08,5.790000000000006,-4.609999999999999,97.202,101.89,92.21,9.680000000000007,-3.940000000000012,93.35,97.55,89.78,7.769999999999996,-4.430000000000007,94.914,99.27,91.24,8.030000000000001,-3.9399999999999977,866841,1867746,452325,1415421,-79569
2019-08-18,95.44200000000001,95.99,95.04,0.9499999999999886,0.519999999999996,96.916,98.27,95.35,2.9200000000000017,1.2000000000000028,94.102,94.99,93.27,1.7199999999999989,-1.7199999999999989,95.158,96.9,93.89,3.010000000000005,-2.010000000000005,427301,550350,305869,244481,140784
2019-08-25,94.106,95.39,92.0,3.3900000000000006,0.4000000000000057,95.834,99.02,93.84,5.179999999999993,2.950000000000003,92.852,95.39,91.07,4.320000000000007,4.320000000000007,94.35,98.89,92.2,6.689999999999998,5.840000000000003,530386,760317,345423,414894,72602
2019-09-01,98.0475,99.53,95.75,3.780000000000001,1.8200000000000074,99.145,100.84,98.03,2.8100000000000023,2.8100000000000023,96.7425,99.01,94.97,4.040000000000006,4.040000000000006,98.16,100.56,95.26,5.299999999999997,5.299999999999997,366517,426081,303682,122399,-33422
2019-09-08,104.028,108.35,99.92,8.429999999999993,5.0800000000000125,106.406,109.26,101.1,8.16000000000001,5.490000000000009,102.28,104.91,99.73,5.179999999999993,2.3699999999999903,104.478,108.54,100.32,8.220000000000013,1.8500000000000085,578544,838983,368097,470886,-610
2019-09-15,103.818,106.24,101.15,5.089999999999989,3.25,105.536,107.26,103.57,3.690000000000012,-1.2900000000000063,101.576,103.0,99.34,3.6599999999999966,3.2299999999999898,103.772,107.01,101.91,5.1000000000000085,-3.8299999999999983,561934,784799,378413,406386,271089
2019-09-22,103.538,108.73,101.63,7.1000000000000085,-0.8299999999999983,105.422,109.22,102.71,6.510000000000005,-6.030000000000001,100.72200000000001,103.0,99.45,3.549999999999997,-3.549999999999997,102.906,108.7,99.69,9.010000000000005,-9.010000000000005,483773,759623,235455,524168,-446393
