Date,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_change
2019-09-08,141.25,141.25,141.25,0.0,0.0,142.28,142.28,142.28,0.0,0.0,139.5,139.5,139.5,0.0,0.0,140.36,140.36,140.36,0.0,0.0
2019-09-15,145.91,145.91,145.91,0.0,0.0,148.09,148.09,148.09,0.0,0.0,145.5,145.5,145.5,0.0,0.0,147.47,147.47,147.47,0.0,0.0
2019-09-22,135.33,135.33,135.33,0.0,0.0,136.51,136.51,136.51,0.0,0.0,130.14,130.14,130.14,0.0,0.0,132.67,132.67,132.67,0.0,0.0
2019-09-29,138.9,138.9,138.9,0.0,0.0,140.65,140.65,140.65,0.0,0.0,136.14,136.14,136.14,0.0,0.0,137.66,137.66,137.66,0.0,0.0
2019-10-06,136.29,136.29,136.29,0.0,0.0,137.46,137.46,137.46,0.0,0.0,136.11,136.11,136.11,0.0,0.0,136.87,136.87,136.87,0.0,0.0
2019-10-13,136.9,136.9,136.9,0.0,0.0,137.02,137.02,137.02,0.0,0.0,133.82,133.82,133.82,0.0,0.0,134.39,134.39,134.39,0.0,0.0
2019-10-20,138.21,138.21,138.21,0.0,0.0,138.21,138.21,138.21,0.0,0.0,135.69,135.69,135.69,0.0,0.0,136.49,136.49,136.49,0.0,0.0
2019-10-27,141.14,141.14,141.14,0.0,0.0,141.65,141.65,141.65,0.0,0.0,139.81,139.81,139.81,0.0,0.0,140.89,140.89,140.89,0.0,0.0
2019-11-03,127.1,127.1,127.1,0.0,0.0,127.63,127.63,127.63,0.0,0.0,123.93,123.93,123.93,0.0,0.0,125.72,125.72,125.72,0.0,0.0
2019-11-10,129.23,129.23,129.23,0.0,0.0,130.37,130.37,130.37,0.0,0.0,128.76,128.76,128.76,0.0,0.0,129.97,129.97,129.97,0.0,0.0
2019-11-17,125.81,125.81,125.81,0.0,0.0,126.81,126.81,126.81,0.0,0.0,125.24,125.24,125.24,0.0,0.0,125.35,125.35,125.35,0.0,0.0
2019-11-24,125.82,125.82,125.82,0.0,0.0,127.86,127.86,127.86,0.0,0.0,125.82,125.82,125.82,0.0,0.0,127.19,127.19,127.19,0.0,0.0
2019-12-01,126.8,126.8,126.8,0.0,0.0,126.8,126.8,126.8,0.0,0.0,125.75,125.75,125.75,0.0,0.0,126.18,126.18,126.18,0.0,0.0
2019-12-08,130.57,130.57,130.57,0.0,0.0,131.0,131.0,131.0,0.0,0.0,129.38,129.38,129.38,0.0,0.0,130.25,130.25,130.25,0.0,0.0
2019-12-15,131.44,131.44,131.44,0.0,0.0,132.65,132.65,132.65,0.0,0.0,131.44,131.44,131.44,0.0,0.0,132.63,132.63,132.63,0.0,0.0
2019-12-22,139.85,139.85,139.85,0.0,0.0,140.44,140.44,140.44,0.0,0.0,139.82,139.82,139.82,0.0,0.0,140.24,140.24,140.24,0.0,0.0
2019-12-29,149.0,149.0,149.0,0.0,0.0,150.96,150.96,150.96,0.0,0.0,148.23,148.23,148.23,0.0,0.0,149.58,149.58,149.58,0.0,0.0
