Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2018-10-28,26.08,26.08,26.08,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-11-04,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-11-11,25.89,25.89,25.89,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.81,25.81,25.81,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-11-18,25.25,25.25,25.25,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-11-25,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-12-02,25.18,25.18,25.18,0.0,0.0,26.17,26.17,26.17,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-12-09,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,23.95,23.95,23.95,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2018-12-16,22.88,22.88,22.88,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2018-12-23,22.3,22.3,22.3,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.03,22.03,22.03,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-12-30,22.49,22.49,22.49,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2019-01-06,23.59,23.59,23.59,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2019-01-13,23.9,23.9,23.9,0.0,0.0,24.18,24.18,24.18,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2019-01-20,24.04,24.04,24.04,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2019-01-27,24.34,24.34,24.34,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2019-02-03,24.0,24.0,24.0,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.88,23.88,23.88,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2019-02-10,24.75,24.75,24.75,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2019-02-17,25.01,25.01,25.01,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2019-02-24,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2019-03-03,24.12,24.12,24.12,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2019-03-10,24.72,24.72,24.72,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2019-03-17,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2019-03-24,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2019-03-31,25.28,25.28,25.28,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.36,25.36,25.36,0.0,0.0
