Date,iShares Core High Dividend_Open_average,iShares Core High Dividend_Open_max,iShares Core High Dividend_Open_min,iShares Core High Dividend_Open_volatility,iShares Core High Dividend_Open_change,iShares Core High Dividend_High_average,iShares Core High Dividend_High_max,iShares Core High Dividend_High_min,iShares Core High Dividend_High_volatility,iShares Core High Dividend_High_change,iShares Core High Dividend_Low_average,iShares Core High Dividend_Low_max,iShares Core High Dividend_Low_min,iShares Core High Dividend_Low_volatility,iShares Core High Dividend_Low_change,iShares Core High Dividend_Close_average,iShares Core High Dividend_Close_max,iShares Core High Dividend_Close_min,iShares Core High Dividend_Close_volatility,iShares Core High Dividend_Close_change
2019-06-02,93.95,93.95,93.95,0.0,0.0,94.64,94.64,94.64,0.0,0.0,93.95,93.95,93.95,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2019-06-09,94.21,94.21,94.21,0.0,0.0,94.45,94.45,94.45,0.0,0.0,93.97,93.97,93.97,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2019-06-16,95.09,95.09,95.09,0.0,0.0,95.59,95.59,95.59,0.0,0.0,95.05,95.05,95.05,0.0,0.0,95.23,95.23,95.23,0.0,0.0
2019-06-23,94.44,94.44,94.44,0.0,0.0,94.64,94.64,94.64,0.0,0.0,94.16,94.16,94.16,0.0,0.0,94.5,94.5,94.5,0.0,0.0
2019-06-30,95.65,95.65,95.65,0.0,0.0,95.68,95.68,95.68,0.0,0.0,95.03,95.03,95.03,0.0,0.0,95.64,95.64,95.64,0.0,0.0
2019-07-07,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0,95.18,95.18,95.18,0.0,0.0,95.4,95.4,95.4,0.0,0.0
2019-07-14,95.31,95.31,95.31,0.0,0.0,95.31,95.31,95.31,0.0,0.0,94.66,94.66,94.66,0.0,0.0,94.69,94.69,94.69,0.0,0.0
2019-07-21,95.25,95.25,95.25,0.0,0.0,95.62,95.62,95.62,0.0,0.0,95.03,95.03,95.03,0.0,0.0,95.53,95.53,95.53,0.0,0.0
2019-07-28,93.24,93.24,93.24,0.0,0.0,93.54,93.54,93.54,0.0,0.0,92.64,92.64,92.64,0.0,0.0,93.15,93.15,93.15,0.0,0.0
2019-08-04,92.91,92.91,92.91,0.0,0.0,93.11,93.11,93.11,0.0,0.0,91.96,91.96,91.96,0.0,0.0,92.67,92.67,92.67,0.0,0.0
2019-08-11,91.34,91.34,91.34,0.0,0.0,92.27,92.27,92.27,0.0,0.0,91.34,91.34,91.34,0.0,0.0,92.1,92.1,92.1,0.0,0.0
2019-08-18,92.58,92.58,92.58,0.0,0.0,92.85,92.85,92.85,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.79,90.79,90.79,0.0,0.0
2019-08-25,92.95,92.95,92.95,0.0,0.0,93.1,93.1,93.1,0.0,0.0,92.43,92.43,92.43,0.0,0.0,92.66,92.66,92.66,0.0,0.0
2019-09-01,93.93,93.93,93.93,0.0,0.0,94.24,94.24,94.24,0.0,0.0,93.83,93.83,93.83,0.0,0.0,94.11,94.11,94.11,0.0,0.0
2019-09-08,95.79,95.79,95.79,0.0,0.0,96.0,96.0,96.0,0.0,0.0,95.44,95.44,95.44,0.0,0.0,95.54,95.54,95.54,0.0,0.0
2019-09-15,95.75,95.75,95.75,0.0,0.0,95.97,95.97,95.97,0.0,0.0,95.33,95.33,95.33,0.0,0.0,95.34,95.34,95.34,0.0,0.0
2019-09-22,94.1,94.1,94.1,0.0,0.0,94.46,94.46,94.46,0.0,0.0,93.59,93.59,93.59,0.0,0.0,94.05,94.05,94.05,0.0,0.0
2019-09-29,92.11,92.11,92.11,0.0,0.0,93.1,93.1,93.1,0.0,0.0,92.11,92.11,92.11,0.0,0.0,93.01,93.01,93.01,0.0,0.0
