Date,CX_Open_average,CX_Open_max,CX_Open_volatility,CX_Open_change%,CX_High_average,CX_High_max,CX_High_volatility,CX_High_change%,CX_Low_average,CX_Low_max,CX_Low_volatility,CX_Low_change%,CX_Close_average,CX_Close_max,CX_Close_volatility,CX_Close_change%,CX_Volume_average,CX_Volume_max,CX_Volume_volatility,CX_Volume_change%
2017-08-27,9.2225,9.54,0.7599999999999998,7.061503416856504,9.44,9.54,0.35999999999999943,3.4858387799564303,9.1375,9.31,0.5300000000000011,5.808656036446467,9.3625,9.51,0.34999999999999964,3.384279475982538,9694450,12986500,7208000,16.698970255432958
2017-09-03,9.292,9.5,0.3200000000000003,-2.2105263157894828,9.324,9.51,0.3200000000000003,-1.9978969505783335,9.094,9.13,0.09000000000000163,-0.9857612267250999,9.161999999999999,9.2,0.08000000000000007,-0.3278688524590288,6977420,13659600,10251500,155.62542106445093
2017-09-10,9.036,9.13,0.21000000000000085,-1.653803748621834,9.138,9.15,0.040000000000000924,0.0,8.976,9.04,0.1399999999999988,-1.5486725663716683,9.082,9.15,0.14000000000000057,-0.8743169398907111,6183320,11366700,7623300,-0.7961184952335395
2017-09-17,9.266,9.39,0.3600000000000012,3.2115171650055476,9.35,9.45,0.28999999999999915,1.746724890829696,9.136000000000001,9.3,0.3100000000000005,1.2235817575083363,9.268,9.35,0.21999999999999886,0.5476451259583672,8765136,10907800,3177400,-4.1776249788649045
2017-09-24,9.086,9.17,0.1999999999999993,-0.9814612868047967,9.148,9.22,0.13000000000000078,-1.0845986984815772,9.008,9.1,0.16000000000000014,-0.7692307692307724,9.058,9.14,0.16000000000000014,-0.6564551422319529,6487472,11245101,7601884,-53.74833279209114
2017-10-01,9.001999999999999,9.12,0.23999999999999844,-1.9736842105263128,9.044,9.12,0.16999999999999993,-1.8640350877192977,8.87,9.01,0.39000000000000057,-4.328523862375145,8.922,9.07,0.4399999999999995,-4.85115766262403,7603730,11706264,5759000,96.83444353571659
2017-10-08,8.27,8.7,0.6999999999999993,-7.471264367816076,8.326,8.71,0.6500000000000004,-7.462686567164182,8.054,8.39,0.620000000000001,-7.389749702026233,8.078,8.39,0.580000000000001,-6.912991656734219,17631626,23291688,10538746,-10.744580313900833
2017-10-15,8.03,8.12,0.2699999999999996,2.6751592356688008,8.177999999999999,8.26,0.16000000000000014,0.12254901960784052,7.9639999999999995,8.03,0.17999999999999972,2.292993630573245,8.05,8.09,0.1299999999999999,-0.12360939431396523,14582888,33973564,25912000,-76.27106770428914
2017-10-22,8.216,8.37,0.25,1.1083743842364735,8.298,8.41,0.15000000000000036,0.24213075060532172,8.088,8.15,0.14000000000000057,-1.233045622688035,8.146,8.22,0.1800000000000015,-2.1897810218978284,9751719,12891834,6614706,-41.05760611809009
2017-10-29,8.048,8.16,0.23000000000000043,-1.4906832298136767,8.164,8.25,0.17999999999999972,-2.1818181818181785,7.9,7.95,0.08999999999999986,-0.6321112515802759,8.02,8.11,0.20999999999999908,-0.7398273736128079,9202313,13046986,6780700,22.106467559211904
2017-11-05,8.092,8.2,0.1999999999999993,0.8750000000000036,8.182,8.28,0.1999999999999993,-0.36991368680640396,8.022,8.1,0.23999999999999932,-1.627033792240299,8.102,8.24,0.33000000000000007,-2.103960396039603,9433237,17364548,12706583,91.2818375783805
2017-11-12,7.846,7.95,0.1800000000000006,-1.8867924528301931,7.912,7.99,0.16999999999999993,-1.635220125786162,7.76,7.83,0.1299999999999999,-1.152368758002559,7.806,7.85,0.11999999999999922,-0.25608194622278585,9525782,21393438,17559469,-49.815806551852056
2017-11-19,7.85,7.87,0.04999999999999982,0.5115089514066501,7.905,7.94,0.08000000000000007,-0.5063291139240511,7.79,7.82,0.08999999999999986,-0.8974358974358897,7.8075,7.85,0.10999999999999943,-1.0230179028133002,5709956,8754326,5224221,-34.67193248229504
2017-11-26,7.686,7.81,0.25,-1.6839378238341955,7.758,7.85,0.21999999999999975,-2.802547770700634,7.558,7.75,0.33999999999999986,-2.8795811518324577,7.632,7.84,0.39999999999999947,-5.102040816326523,9780288,12163749,5367346,78.97333339414982
2017-12-03,7.332,7.46,0.3099999999999996,0.539083557951483,7.446,7.57,0.28000000000000025,1.2032085561497305,7.26,7.44,0.35000000000000053,2.0576131687242847,7.352,7.49,0.2999999999999998,2.7434842249657088,10529621,14244988,6423058,-26.80681730136884
2017-12-10,7.478,7.54,0.11000000000000032,-0.7999999999999948,7.556,7.59,0.04999999999999982,-0.39630118890356997,7.402,7.43,0.04999999999999982,0.542005420054201,7.482,7.56,0.16999999999999993,-0.266666666666661,11646462,14049970,5600779,-13.887332143769703
2017-12-17,7.4975000000000005,7.57,0.16999999999999993,-0.6605019815059539,7.5675,7.61,0.09000000000000075,-0.527009222661397,7.405,7.49,0.15000000000000036,1.0899182561307912,7.4775,7.54,0.13999999999999968,0.6756756756756732,11045958,17914394,10618561,-59.27390566490834
2017-12-24,7.51,7.54,0.05999999999999961,0.5340453938584784,7.5325,7.57,0.07000000000000028,0.2659574468085168,7.455,7.47,0.02999999999999936,0.1340482573726513,7.4925,7.5,0.009999999999999787,0.13351134846461665,5314580,7322848,3660794,86.6937114297267
2017-12-31,7.858,7.98,0.4300000000000006,4.900662251655631,7.9319999999999995,8.02,0.2699999999999996,2.193548387096773,7.78,7.92,0.3799999999999999,3.8461538461538467,7.862,7.95,0.20999999999999996,1.4211886304909487,12193292,20720048,14589777,-51.80748531097341
2018-01-07,7.8225,7.98,0.23000000000000043,2.3076923076923155,7.9475,8.16,0.35000000000000053,3.949044585987268,7.77,7.97,0.2999999999999998,3.3722438391699066,7.859999999999999,8.03,0.3099999999999996,4.015544041450772,14095170,25175212,16074314,13.418851634201372
2018-01-14,8.188,8.26,0.16999999999999993,2.1013597033374527,8.234,8.27,0.07000000000000028,0.48602673147022046,8.112,8.16,0.10999999999999943,1.1180124223602466,8.182,8.25,0.10999999999999943,1.3513513513513442,9197466,16263552,9597757,-57.34530808522025
2018-01-21,8.346,8.43,0.20999999999999908,1.8248175182481579,8.456,8.51,0.16999999999999993,0.9592326139088738,8.228,8.36,0.2599999999999998,0.9876543209876553,8.342,8.45,0.1899999999999995,-0.36057692307693673,9001799,10463710,4936686,-7.181067137893469
2018-01-28,8.246,8.46,0.41000000000000014,-2.1871202916160355,8.368,8.48,0.28000000000000114,-2.7283511269276444,8.082,8.27,0.6299999999999999,-6.601466992665037,8.18,8.38,0.5900000000000007,-7.040572792362776,9032463,13545959,7696519,73.49542597508221
