Date,First Trust ISE Global Wind EnergyEtf_Open_average,First Trust ISE Global Wind EnergyEtf_Open_max,First Trust ISE Global Wind EnergyEtf_Open_min,First Trust ISE Global Wind EnergyEtf_Open_volatility,First Trust ISE Global Wind EnergyEtf_Open_change,First Trust ISE Global Wind EnergyEtf_High_average,First Trust ISE Global Wind EnergyEtf_High_max,First Trust ISE Global Wind EnergyEtf_High_min,First Trust ISE Global Wind EnergyEtf_High_volatility,First Trust ISE Global Wind EnergyEtf_High_change,First Trust ISE Global Wind EnergyEtf_Low_average,First Trust ISE Global Wind EnergyEtf_Low_max,First Trust ISE Global Wind EnergyEtf_Low_min,First Trust ISE Global Wind EnergyEtf_Low_volatility,First Trust ISE Global Wind EnergyEtf_Low_change,First Trust ISE Global Wind EnergyEtf_Close_average,First Trust ISE Global Wind EnergyEtf_Close_max,First Trust ISE Global Wind EnergyEtf_Close_min,First Trust ISE Global Wind EnergyEtf_Close_volatility,First Trust ISE Global Wind EnergyEtf_Close_change
2019-11-24,13.99,13.99,13.99,0.0,0.0,13.99,13.99,13.99,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2019-12-01,14.16,14.16,14.16,0.0,0.0,14.17,14.17,14.17,0.0,0.0,14.14,14.14,14.14,0.0,0.0,14.17,14.17,14.17,0.0,0.0
2019-12-08,14.38,14.38,14.38,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.33,14.33,14.33,0.0,0.0
2019-12-15,14.44,14.44,14.44,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2019-12-22,14.64,14.64,14.64,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2019-12-29,14.59,14.59,14.59,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2020-01-05,14.41,14.41,14.41,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2020-01-12,14.93,14.93,14.93,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2020-01-19,15.04,15.04,15.04,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2020-01-26,14.86,14.86,14.86,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2020-02-02,15.22,15.22,15.22,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.15,15.15,15.15,0.0,0.0
