Date,NPTN_stock_Open_average,NPTN_stock_Open_max,NPTN_stock_Open_min,NPTN_stock_Open_volatility,NPTN_stock_Open_change,NPTN_stock_High_average,NPTN_stock_High_max,NPTN_stock_High_min,NPTN_stock_High_volatility,NPTN_stock_High_change,NPTN_stock_Low_average,NPTN_stock_Low_max,NPTN_stock_Low_min,NPTN_stock_Low_volatility,NPTN_stock_Low_change,NPTN_stock_Close_average,NPTN_stock_Close_max,NPTN_stock_Close_min,NPTN_stock_Close_volatility,NPTN_stock_Close_change,NPTN_stock_Volume_average,NPTN_stock_Volume_max,NPTN_stock_Volume_min,NPTN_stock_Volume_volatility,NPTN_stock_Volume_change
2017-02-26,10.446,11.21,9.77,1.4400000000000013,-1.4400000000000013,10.624,11.23,10.19,1.040000000000001,-1.040000000000001,10.03,10.65,9.7,0.9500000000000011,-0.9500000000000011,10.158,10.95,9.72,1.2299999999999986,-1.0199999999999996,1315000,1719576,899802,819774,-585254
2017-03-05,9.67,9.99,9.34,0.6500000000000004,-0.5500000000000007,9.860000000000001,10.14,9.56,0.5800000000000001,-0.4299999999999997,9.272,9.63,8.7,0.9300000000000015,-0.9300000000000015,9.502,9.76,9.01,0.75,-0.75,1279704,2788130,678777,2109353,1714136
2017-03-12,8.67,9.56,6.99,2.5700000000000003,0.3100000000000005,9.29,9.78,8.52,1.2599999999999998,0.29999999999999893,8.292,9.06,6.9,2.16,0.5700000000000003,8.914,9.55,8.08,1.4700000000000006,0.6600000000000001,5079034,15503190,1654934,13848256,-557292
2017-03-19,8.86,9.16,8.55,0.6099999999999994,-0.3100000000000005,9.134,9.48,8.83,0.6500000000000004,0.2900000000000009,8.684,8.87,8.5,0.3699999999999992,-0.02999999999999936,8.878,9.26,8.62,0.6400000000000006,0.29999999999999893,1333306,1601475,1088486,512989,-470951
2017-03-26,9.224,9.4,9.09,0.3100000000000005,0.019999999999999574,9.37,9.54,9.14,0.3999999999999986,-0.2699999999999996,9.066,9.27,8.83,0.4399999999999995,-0.23000000000000043,9.212,9.42,9.01,0.41000000000000014,-0.370000000000001,618053,807793,492091,315702,-211677
2017-04-02,8.674,9.04,8.41,0.629999999999999,-0.629999999999999,8.79,9.21,8.52,0.6900000000000013,-0.6900000000000013,8.488,8.82,8.22,0.5999999999999996,-0.47000000000000064,8.6,8.87,8.48,0.3899999999999988,-0.35999999999999943,854903,1032629,494520,538109,427323
2017-04-09,8.295,8.49,8.15,0.33999999999999986,-0.33999999999999986,8.39,8.64,8.24,0.40000000000000036,-0.33999999999999986,8.105,8.34,8.0,0.33999999999999986,-0.33999999999999986,8.182500000000001,8.36,8.05,0.3099999999999987,-0.2599999999999998,968335,1512486,760491,751995,747919
2017-04-16,7.9639999999999995,8.11,7.8,0.3099999999999996,-0.28999999999999915,8.24,8.98,7.8,1.1800000000000006,0.8000000000000007,7.824,8.0,7.62,0.3799999999999999,-0.17999999999999972,7.96,8.24,7.72,0.5200000000000005,0.16999999999999993,1423558,3904790,587441,3317349,3317349
2017-04-23,8.042,8.35,7.91,0.4399999999999995,-0.4399999999999995,8.120000000000001,8.4,7.91,0.4900000000000002,-0.4900000000000002,7.77,7.96,7.46,0.5,-0.3700000000000001,7.912,8.05,7.76,0.2900000000000009,-0.1200000000000001,958285,1264082,526853,737229,133329
2017-04-30,7.79,8.13,7.4,0.7300000000000004,0.27000000000000046,7.858,8.25,7.4,0.8499999999999996,0.23000000000000043,7.32,7.71,6.9,0.8099999999999996,-0.7799999999999994,7.56,7.96,7.18,0.7800000000000002,-0.46999999999999975,1962334,3089633,1074480,2015153,2015153
2017-05-07,8.129999999999999,8.61,7.38,1.2299999999999995,1.0200000000000005,8.51,8.86,7.72,1.1399999999999997,0.8199999999999994,7.954,8.37,7.14,1.2299999999999995,1.0700000000000012,8.368,8.69,7.7,0.9899999999999993,0.7299999999999995,1605771,2509697,1149336,1360361,-384431
