Date,HRLStock_Open_average,HRLStock_Open_max,HRLStock_Open_min,HRLStock_Open_volatility,HRLStock_Open_change,HRLStock_High_average,HRLStock_High_max,HRLStock_High_min,HRLStock_High_volatility,HRLStock_High_change,HRLStock_Low_average,HRLStock_Low_max,HRLStock_Low_min,HRLStock_Low_volatility,HRLStock_Low_change,HRLStock_Close_average,HRLStock_Close_max,HRLStock_Close_min,HRLStock_Close_volatility,HRLStock_Close_change,HRLStock_Volume_average,HRLStock_Volume_max,HRLStock_Volume_min,HRLStock_Volume_volatility,HRLStock_Volume_change
2017-04-30,34.798,34.9,34.56,0.3399999999999963,-0.00999999999999801,34.974,35.03,34.86,0.1700000000000017,0.00999999999999801,34.598,34.78,34.43,0.3500000000000014,-0.21999999999999886,34.758,34.9,34.58,0.3200000000000003,-0.14999999999999858,1432846,1865065,1109765,755300,-755300
2017-05-07,34.514,34.78,34.25,0.5300000000000011,-0.3999999999999986,34.730000000000004,34.99,34.46,0.5300000000000011,-0.21999999999999886,34.298,34.39,34.11,0.28000000000000114,0.030000000000001137,34.455999999999996,34.58,34.39,0.18999999999999773,-0.07000000000000028,1751952,2239332,1245301,994031,-858119
2017-05-14,34.312,34.55,34.15,0.3999999999999986,-0.10999999999999943,34.572,34.91,34.34,0.5699999999999932,0.30999999999999517,34.120000000000005,34.26,33.84,0.4199999999999946,-0.05999999999999517,34.376,34.83,34.15,0.6799999999999997,0.29999999999999716,2422350,3416747,1682317,1734430,872916
2017-05-21,34.502,35.23,33.09,2.1399999999999935,-1.8399999999999963,34.9,35.48,33.61,1.8699999999999974,-1.740000000000002,34.211999999999996,35.14,32.94,2.200000000000003,-1.7199999999999989,34.414,35.4,33.12,2.280000000000001,-2.0900000000000034,3763921,7972557,2119505,5853052,1845479
2017-05-28,33.555,34.01,33.05,0.9600000000000009,0.9600000000000009,33.79,34.15,33.37,0.7800000000000011,0.7800000000000011,33.4,33.9,32.9,1.0,1.0,33.730000000000004,34.11,33.27,0.8399999999999963,0.8399999999999963,2549405,3091877,1972394,1119483,-795310
2017-06-04,34.394,34.94,34.07,0.8699999999999974,0.21000000000000085,34.712,35.0,34.22,0.7800000000000011,0.6200000000000045,34.14,34.51,33.86,0.6499999999999986,0.36999999999999744,34.518,34.98,34.16,0.8200000000000003,0.6100000000000065,1870127,2359011,1113509,1245502,882288
2017-06-11,34.812,34.9,34.75,0.14999999999999858,-0.060000000000002274,34.948,35.16,34.77,0.38999999999999346,-0.269999999999996,34.308,34.56,33.49,1.0700000000000003,-1.0700000000000003,34.536,34.73,33.95,0.779999999999994,-0.779999999999994,2264519,4102211,1552607,2549604,2449194
2017-06-18,34.128,34.37,33.91,0.46000000000000085,0.36999999999999744,34.56,35.34,34.03,1.3100000000000023,0.9500000000000028,33.818,34.37,33.46,0.9099999999999966,0.9099999999999966,34.33,34.94,33.94,1.0,0.5899999999999963,3741594,7690318,2211118,5479200,5337153
2017-06-25,34.468,35.09,34.05,1.0400000000000063,-1.0400000000000063,34.736,35.29,34.34,0.9499999999999957,-0.8500000000000014,34.176,34.78,33.78,1.0,-0.730000000000004,34.246,34.8,33.96,0.8399999999999963,-0.6899999999999977,1905880,2246890,1468241,778649,778649
2017-07-02,33.8275,34.27,33.23,1.0400000000000063,-1.0400000000000063,33.96,34.54,33.34,1.1999999999999957,-1.1999999999999957,33.5,34.15,33.06,1.0899999999999963,-1.0899999999999963,33.5575,34.15,33.15,1.0,-0.9499999999999957,1481015,1779666,1083761,695905,354589
2017-07-09,32.744,33.16,32.55,0.6099999999999994,-0.38999999999999346,32.894,33.24,32.7,0.5399999999999991,-0.3300000000000054,32.5,32.68,32.26,0.4200000000000017,0.030000000000001137,32.668,32.83,32.53,0.29999999999999716,0.17999999999999972,1844733,2330285,1350369,979916,-979916
2017-07-16,32.878,33.19,32.66,0.5300000000000011,0.020000000000003126,33.16,33.3,32.96,0.3399999999999963,0.020000000000003126,32.672,32.85,32.44,0.4100000000000037,0.1700000000000017,32.96,33.23,32.62,0.6099999999999994,0.03999999999999915,1972899,4302271,1030259,3272012,-563997
2017-07-23,33.8,34.3,33.2,1.0999999999999943,1.0999999999999943,34.12,34.41,33.39,1.019999999999996,0.9500000000000028,33.658,34.06,33.18,0.8800000000000026,0.8800000000000026,33.982,34.33,33.31,1.019999999999996,0.8399999999999963,1927763,2801902,992014,1809888,-896284
2017-07-30,34.135999999999996,34.23,34.01,0.21999999999999886,-0.14000000000000057,34.252,34.39,34.01,0.38000000000000256,-0.3300000000000054,33.784,33.97,33.6,0.36999999999999744,-0.36999999999999744,34.014,34.17,33.67,0.5,-0.5,1393169,1799073,1112341,686732,-576381
2017-08-06,33.75,34.15,33.48,0.6700000000000017,-0.04999999999999716,34.058,34.24,33.75,0.490000000000002,0.020000000000003126,33.556,33.75,33.44,0.3100000000000023,-0.17999999999999972,33.827999999999996,34.2,33.61,0.5900000000000034,-0.19000000000000483,1633785,1826523,1250009,576514,-493438
