Date,Vanguard Short-Term Government Bond_etf_Open_average,Vanguard Short-Term Government Bond_etf_Open_max,Vanguard Short-Term Government Bond_etf_Open_min,Vanguard Short-Term Government Bond_etf_Open_volatility,Vanguard Short-Term Government Bond_etf_Open_change,Vanguard Short-Term Government Bond_etf_High_average,Vanguard Short-Term Government Bond_etf_High_max,Vanguard Short-Term Government Bond_etf_High_min,Vanguard Short-Term Government Bond_etf_High_volatility,Vanguard Short-Term Government Bond_etf_High_change,Vanguard Short-Term Government Bond_etf_Low_average,Vanguard Short-Term Government Bond_etf_Low_max,Vanguard Short-Term Government Bond_etf_Low_min,Vanguard Short-Term Government Bond_etf_Low_volatility,Vanguard Short-Term Government Bond_etf_Low_change,Vanguard Short-Term Government Bond_etf_Close_average,Vanguard Short-Term Government Bond_etf_Close_max,Vanguard Short-Term Government Bond_etf_Close_min,Vanguard Short-Term Government Bond_etf_Close_volatility,Vanguard Short-Term Government Bond_etf_Close_change
2017-04-02,60.77,60.77,60.77,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.72,60.72,60.72,0.0,0.0
2017-04-09,60.84,60.84,60.84,0.0,0.0,60.89,60.89,60.89,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2017-04-16,60.87,60.87,60.87,0.0,0.0,60.89,60.89,60.89,0.0,0.0,60.87,60.87,60.87,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2017-04-23,60.82,60.82,60.82,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2017-04-30,60.71,60.71,60.71,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.72,60.72,60.72,0.0,0.0
2017-05-07,60.75,60.75,60.75,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2017-05-14,60.8,60.8,60.8,0.0,0.0,60.84,60.84,60.84,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2017-05-21,60.81,60.81,60.81,0.0,0.0,60.89,60.89,60.89,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2017-05-28,60.79,60.79,60.79,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.77,60.77,60.77,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2017-06-04,60.73,60.73,60.73,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2017-06-11,60.77,60.77,60.77,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2017-06-18,60.78,60.78,60.78,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2017-06-25,60.78,60.78,60.78,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2017-07-02,60.7,60.7,60.7,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2017-07-09,60.77,60.77,60.77,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2017-07-16,60.77,60.77,60.77,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.77,60.77,60.77,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2017-07-23,60.81,60.81,60.81,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2017-07-30,60.76,60.76,60.76,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2017-08-06,60.82,60.82,60.82,0.0,0.0,60.87,60.87,60.87,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2017-08-13,60.88,60.88,60.88,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.86,60.86,60.86,0.0,0.0
2017-08-20,60.88,60.88,60.88,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.86,60.86,60.86,0.0,0.0
2017-08-27,60.85,60.85,60.85,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2017-09-03,60.92,60.92,60.92,0.0,0.0,60.93,60.93,60.93,0.0,0.0,60.87,60.87,60.87,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2017-09-10,60.79,60.79,60.79,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2017-09-17,60.73,60.73,60.73,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2017-09-24,60.75,60.75,60.75,0.0,0.0,60.77,60.77,60.77,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2017-10-01,60.64,60.64,60.64,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.63,60.63,60.63,0.0,0.0
2017-10-08,60.67,60.67,60.67,0.0,0.0,60.71,60.71,60.71,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.67,60.67,60.67,0.0,0.0
2017-10-15,60.65,60.65,60.65,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.58,60.58,60.58,0.0,0.0,60.58,60.58,60.58,0.0,0.0
2017-10-22,60.57,60.57,60.57,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.59,60.59,60.59,0.0,0.0
2017-10-29,60.53,60.53,60.53,0.0,0.0,60.54,60.54,60.54,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.52,60.52,60.52,0.0,0.0
2017-11-05,60.53,60.53,60.53,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.5,60.5,60.5,0.0,0.0
2017-11-12,60.46,60.46,60.46,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2017-11-19,60.45,60.45,60.45,0.0,0.0,60.47,60.47,60.47,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.46,60.46,60.46,0.0,0.0
2017-11-26,60.35,60.35,60.35,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.4,60.4,60.4,0.0,0.0
2017-12-03,60.37,60.37,60.37,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.37,60.37,60.37,0.0,0.0
2017-12-10,60.35,60.35,60.35,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2017-12-17,60.32,60.32,60.32,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.31,60.31,60.31,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2017-12-24,60.28,60.28,60.28,0.0,0.0,60.3,60.3,60.3,0.0,0.0,60.26,60.26,60.26,0.0,0.0,60.27,60.27,60.27,0.0,0.0
2017-12-31,60.22,60.22,60.22,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.21,60.21,60.21,0.0,0.0
