Date,ESGR_stock_Open_average,ESGR_stock_Open_max,ESGR_stock_Open_min,ESGR_stock_Open_volatility,ESGR_stock_Open_change,ESGR_stock_High_average,ESGR_stock_High_max,ESGR_stock_High_min,ESGR_stock_High_volatility,ESGR_stock_High_change,ESGR_stock_Low_average,ESGR_stock_Low_max,ESGR_stock_Low_min,ESGR_stock_Low_volatility,ESGR_stock_Low_change,ESGR_stock_Close_average,ESGR_stock_Close_max,ESGR_stock_Close_min,ESGR_stock_Close_volatility,ESGR_stock_Close_change,ESGR_stock_Volume_average,ESGR_stock_Volume_max,ESGR_stock_Volume_min,ESGR_stock_Volume_volatility,ESGR_stock_Volume_change
2017-06-25,196.7,200.7,193.7,7.0,5.449999999999989,199.77,204.3,195.35,8.950000000000017,4.75,195.1,199.15,193.2,5.950000000000017,2.5500000000000114,197.52,200.85,194.25,6.599999999999994,4.400000000000006,27835,36628,20164,16464,8633
2017-07-02,199.2,201.85,197.0,4.849999999999994,-4.849999999999994,201.7125,204.2,199.3,4.899999999999977,-0.9499999999999886,198.1125,201.05,196.7,4.350000000000023,-4.350000000000023,200.0125,202.8,197.6,5.200000000000017,1.5500000000000114,16604,19764,13692,6072,5546
2017-07-09,202.54999999999998,204.2,201.6,2.5999999999999943,1.0999999999999943,204.39,204.85,203.9,0.9499999999999886,-0.549999999999983,199.62,201.8,197.6,4.200000000000017,4.200000000000017,202.42000000000002,203.05,201.65,1.4000000000000057,-1.0,27221,46908,11090,35818,21459
2017-07-16,203.752,208.2,201.5,6.699999999999989,6.699999999999989,205.38,208.2,204.35,3.8499999999999943,3.25,202.08,202.65,201.35,1.3000000000000114,1.3000000000000114,203.5,205.3,202.65,2.6500000000000057,2.25,31824,67553,18767,48786,-38490
2017-07-23,203.46,205.75,199.55,6.199999999999989,-6.199999999999989,204.76,206.85,202.35,4.5,-2.4000000000000057,201.12,204.15,197.7,6.450000000000017,-2.4499999999999886,202.6,204.55,199.6,4.950000000000017,-2.1500000000000057,21360,28816,10231,18585,-14266
2017-07-30,200.806,201.8,199.7,2.1000000000000227,0.8000000000000114,203.44,204.75,201.8,2.9499999999999886,-0.6999999999999886,200.202,201.05,199.45,1.6000000000000227,0.8000000000000114,201.98999999999998,203.45,199.75,3.6999999999999886,0.3499999999999943,13550,16848,8892,7956,1141
2017-08-06,201.22,203.05,198.35,4.700000000000017,-1.8500000000000227,202.85,204.1,201.5,2.5999999999999943,-1.8499999999999943,199.108,201.34,196.8,4.539999999999992,-4.539999999999992,201.42,203.5,198.0,5.5,-5.25,26328,37041,15882,21159,21159
2017-08-13,200.95000000000002,202.3,199.35,2.950000000000017,0.4000000000000057,203.236,205.38,202.0,3.3799999999999955,0.6999999999999886,199.364,200.2,197.9,2.299999999999983,1.6500000000000057,201.42000000000002,202.25,200.65,1.5999999999999943,1.1500000000000057,37700,45834,28922,16912,-689
2017-08-20,202.99,204.3,201.9,2.4000000000000057,2.4000000000000057,203.56,204.5,202.5,2.0,2.0,202.16,202.55,201.2,1.3500000000000227,1.200000000000017,202.97,203.65,202.2,1.450000000000017,1.450000000000017,24093,33435,17989,15446,4289
2017-08-27,203.59,207.85,201.9,5.949999999999989,4.25,206.022,212.35,202.75,9.599999999999994,8.169999999999987,201.95,205.75,200.25,5.5,4.599999999999994,204.12,207.55,201.4,6.150000000000006,3.6000000000000227,32358,47231,19179,28052,2474
