Date,BREW_stock_Open_average,BREW_stock_Open_max,BREW_stock_Open_min,BREW_stock_Open_volatility,BREW_stock_Open_change,BREW_stock_High_average,BREW_stock_High_max,BREW_stock_High_min,BREW_stock_High_volatility,BREW_stock_High_change,BREW_stock_Low_average,BREW_stock_Low_max,BREW_stock_Low_min,BREW_stock_Low_volatility,BREW_stock_Low_change,BREW_stock_Close_average,BREW_stock_Close_max,BREW_stock_Close_min,BREW_stock_Close_volatility,BREW_stock_Close_change,BREW_stock_Volume_average,BREW_stock_Volume_max,BREW_stock_Volume_min,BREW_stock_Volume_volatility,BREW_stock_Volume_change
2017-02-26,14.959999999999999,15.2,14.6,0.5999999999999996,-0.5999999999999996,15.15,15.35,14.8,0.5499999999999989,-0.5,14.55,14.8,14.3,0.5,-0.45000000000000107,14.85,15.2,14.65,0.5499999999999989,-0.09999999999999964,131458,191009,95388,95621,228
2017-03-05,14.08,14.7,13.5,1.1999999999999993,-1.1999999999999993,14.11,14.7,13.6,1.0999999999999996,-1.0999999999999996,13.622,14.2,13.2,1.0,-0.8399999999999999,13.86,14.3,13.45,0.8500000000000014,-0.75,109666,196161,54963,141198,5840
2017-03-12,13.95,14.65,13.5,1.1500000000000004,0.25,14.514,15.1,14.1,1.0,1.0,13.692,14.45,13.15,1.299999999999999,-0.15000000000000036,14.3,14.65,13.85,0.8000000000000007,0.8000000000000007,190014,420112,117375,302737,274630
2017-03-19,13.32,14.6,12.5,2.0999999999999996,-1.4000000000000004,13.604,14.6,12.9,1.6999999999999993,-1.3499999999999996,12.799999999999999,13.45,12.35,1.0999999999999996,-0.5,12.99,13.45,12.4,1.049999999999999,-0.34999999999999964,183211,281174,97713,183461,-183461
2017-03-26,13.09,13.5,12.9,0.5999999999999996,0.5999999999999996,13.34,13.55,13.15,0.40000000000000036,0.3000000000000007,12.984,13.2,12.82,0.379999999999999,0.379999999999999,13.21,13.55,13.05,0.5,0.29999999999999893,107656,146469,87076,59393,10267
2017-04-02,13.24,13.4,13.1,0.3000000000000007,-0.3000000000000007,13.34,13.55,13.2,0.3500000000000014,-0.3500000000000014,13.01,13.15,12.95,0.20000000000000107,-0.15000000000000036,13.17,13.25,13.1,0.15000000000000036,-0.09999999999999964,123925,199047,64262,134785,-33682
2017-04-09,13.025,13.1,12.95,0.15000000000000036,-0.15000000000000036,13.1375,13.2,13.0,0.1999999999999993,-0.1999999999999993,12.817499999999999,12.97,12.5,0.47000000000000064,-0.47000000000000064,12.925,13.1,12.6,0.5,-0.40000000000000036,100827,151022,71017,80005,80005
2017-04-16,12.5,12.95,12.1,0.8499999999999996,-0.15000000000000036,12.77,13.1,12.4,0.6999999999999993,-0.049999999999998934,12.26,12.5,12.0,0.5,0.25,12.5,12.95,12.25,0.6999999999999993,0.25,114946,156683,84781,71902,-16909
2017-04-23,13.2,13.6,12.75,0.8499999999999996,0.8499999999999996,13.51,13.8,13.25,0.5500000000000007,0.5500000000000007,12.94,13.4,12.55,0.8499999999999996,0.8499999999999996,13.32,13.6,12.9,0.6999999999999993,0.40000000000000036,134663,165877,116014,49863,2458
2017-04-30,14.16,16.4,13.45,2.9499999999999993,2.7499999999999982,15.078,17.25,13.8,3.4499999999999993,3.4499999999999993,14.044,16.2,13.35,2.8499999999999996,2.629999999999999,14.82,16.85,13.4,3.450000000000001,3.1000000000000014,297953,732433,108985,623448,256691
2017-05-07,16.79,17.0,16.65,0.3500000000000014,0.05000000000000071,16.98,17.0,16.9,0.10000000000000142,-0.10000000000000142,16.254,16.6,15.85,0.7500000000000018,-0.5200000000000014,16.74,17.0,16.1,0.8999999999999986,-0.8999999999999986,167866,233156,121010,112146,4108
2017-05-14,16.22,16.55,15.8,0.75,-0.3999999999999986,16.416,16.7,16.0,0.6999999999999993,-0.5500000000000007,15.979999999999999,16.2,15.6,0.5999999999999996,-0.5999999999999996,16.22,16.7,15.8,0.8999999999999986,-0.5,90073,102217,79517,22700,-11778
2017-05-21,15.99,16.15,15.9,0.24999999999999822,-0.15000000000000036,16.39,17.1,16.1,1.0,0.9000000000000021,15.818,15.85,15.8,0.049999999999998934,-0.019999999999999574,16.11,16.85,15.85,1.0000000000000018,1.0000000000000018,115944,256402,75704,180698,180698
