Date,GROW_stock_Open_average,GROW_stock_Open_max,GROW_stock_Open_min,GROW_stock_Open_volatility,GROW_stock_Open_change,GROW_stock_High_average,GROW_stock_High_max,GROW_stock_High_min,GROW_stock_High_volatility,GROW_stock_High_change,GROW_stock_Low_average,GROW_stock_Low_max,GROW_stock_Low_min,GROW_stock_Low_volatility,GROW_stock_Low_change,GROW_stock_Close_average,GROW_stock_Close_max,GROW_stock_Close_min,GROW_stock_Close_volatility,GROW_stock_Close_change,GROW_stock_Volume_average,GROW_stock_Volume_max,GROW_stock_Volume_min,GROW_stock_Volume_volatility,GROW_stock_Volume_change
2017-05-21,1.4284,1.44,1.412,0.028000000000000025,-0.010000000000000009,1.4464,1.47,1.432,0.038000000000000034,0.030000000000000027,1.4144,1.4280000000000002,1.4040000000000001,0.02400000000000002,0.018000000000000238,1.434,1.47,1.42,0.050000000000000044,0.050000000000000044,13333,25774,3892,21882,16105
2017-05-28,1.4875,1.53,1.46,0.07000000000000006,0.050000000000000044,1.5125,1.54,1.49,0.050000000000000044,0.050000000000000044,1.4735,1.5,1.455,0.04499999999999993,0.04499999999999993,1.495,1.51,1.48,0.030000000000000027,0.030000000000000027,16369,23007,11289,11718,5573
2017-06-04,1.536,1.55,1.52,0.030000000000000027,0.010000000000000009,1.5476,1.558,1.54,0.018000000000000016,0.0,1.512,1.52,1.5,0.020000000000000018,0.010000000000000009,1.524,1.55,1.51,0.040000000000000036,0.0,14013,25607,5054,20553,-20553
2017-06-11,1.505,1.527,1.49,0.03699999999999992,-0.010000000000000009,1.5294,1.54,1.52,0.020000000000000018,-0.010000000000000009,1.4824,1.5019999999999998,1.45,0.051999999999999824,-0.050000000000000044,1.514,1.53,1.5,0.030000000000000027,0.0,15388,28156,2046,26110,26110
2017-06-18,1.508,1.52,1.49,0.030000000000000027,-0.030000000000000027,1.5178,1.53,1.51,0.020000000000000018,0.010000000000000009,1.4758,1.49,1.469,0.020999999999999908,0.020999999999999908,1.498,1.51,1.47,0.040000000000000036,0.010000000000000009,8800,20870,3164,17706,12238
2017-06-25,1.516,1.53,1.5,0.030000000000000027,0.010000000000000009,1.5358,1.54,1.53,0.010000000000000009,-0.006999999999999895,1.514,1.52,1.5,0.020000000000000018,0.010000000000000009,1.522,1.53,1.51,0.020000000000000018,0.010000000000000009,10324,19909,4655,15254,4889
2017-07-02,1.5150000000000001,1.53,1.5,0.030000000000000027,-0.010000000000000009,1.525,1.53,1.52,0.010000000000000009,-0.010000000000000009,1.5,1.51,1.48,0.030000000000000027,-0.030000000000000027,1.5075,1.53,1.48,0.050000000000000044,-0.030000000000000027,12383,21292,2732,18560,-4093
2017-07-09,1.4414,1.4669999999999999,1.41,0.05699999999999994,0.016999999999999904,1.4734,1.48,1.46,0.020000000000000018,-0.013000000000000123,1.4308,1.4480000000000002,1.41,0.038000000000000256,0.002000000000000224,1.4456,1.48,1.42,0.06000000000000005,-0.011999999999999789,14708,25939,3201,22738,-19040
2017-07-16,1.4134,1.43,1.4,0.030000000000000027,-0.030000000000000027,1.4243999999999999,1.44,1.41,0.030000000000000027,-0.013000000000000123,1.392,1.41,1.38,0.030000000000000027,-0.010000000000000009,1.4118,1.43,1.39,0.040000000000000036,-0.009000000000000119,7156,13670,2434,11236,-4706
2017-07-23,1.3786,1.43,1.33,0.09999999999999987,-0.07999999999999985,1.3926,1.43,1.37,0.05999999999999983,-0.05999999999999983,1.348,1.38,1.33,0.04999999999999982,-0.029999999999999805,1.3654,1.39,1.35,0.039999999999999813,-0.019999999999999796,21052,35063,5668,29395,-5415
2017-07-30,1.3612,1.38,1.35,0.029999999999999805,-0.021999999999999797,1.3792,1.4,1.36,0.039999999999999813,-0.020000000000000018,1.3384,1.3519999999999999,1.29,0.06199999999999983,-0.0019999999999997797,1.346,1.37,1.29,0.08000000000000007,-0.020000000000000018,18109,26789,5832,20957,18522
2017-08-06,1.3506,1.4,1.3,0.09999999999999987,-0.07000000000000006,1.3606,1.4,1.32,0.07999999999999985,-0.05999999999999983,1.308,1.35,1.26,0.09000000000000008,-0.09000000000000008,1.328,1.37,1.28,0.09000000000000008,-0.09000000000000008,42871,80892,2410,78482,13125
