Date,PowerShares S&P EM Momentum Port_Open_average,PowerShares S&P EM Momentum Port_Open_max,PowerShares S&P EM Momentum Port_Open_min,PowerShares S&P EM Momentum Port_High_average,PowerShares S&P EM Momentum Port_High_max,PowerShares S&P EM Momentum Port_High_min,PowerShares S&P EM Momentum Port_Low_average,PowerShares S&P EM Momentum Port_Low_max,PowerShares S&P EM Momentum Port_Low_min,PowerShares S&P EM Momentum Port_Close_average,PowerShares S&P EM Momentum Port_Close_max,PowerShares S&P EM Momentum Port_Close_min
2019-09-29,-0.7368817005337067,-0.7368817005337067,-0.7368817005337067,-0.7585188643630717,-0.7585188643630717,-0.7585188643630717,-0.6716384060792171,-0.6716384060792171,-0.6716384060792171,-0.6953145441311865,-0.6953145441311865,-0.6953145441311865
2019-10-06,-0.11795903561474738,-0.11795903561474738,-0.11795903561474738,-0.14566292534125416,-0.14566292534125416,-0.14566292534125416,0.005740257632561755,0.005740257632561755,0.005740257632561755,-0.026414193194375282,-0.026414193194375282,-0.026414193194375282
2019-10-13,0.8319815383740594,0.8319815383740594,0.8319815383740594,1.0169415187973083,1.0169415187973083,1.0169415187973083,0.9251307715569471,0.9251307715569471,0.9251307715569471,1.096338633466901,1.096338633466901,1.096338633466901
2019-10-20,2.3395816740565007,2.3395816740565007,2.3395816740565007,2.274711796607265,2.274711796607265,2.274711796607265,2.2669448910734253,2.2669448910734253,2.2669448910734253,2.2045296311581337,2.2045296311581337,2.2045296311581337
2019-10-27,2.2237444911114412,2.2237444911114412,2.2237444911114412,2.193067359490881,2.193067359490881,2.193067359490881,2.0758568428871316,2.0758568428871316,2.0758568428871316,2.0468953508011896,2.0468953508011896,2.0468953508011896
2019-11-03,1.2280525756884122,1.2280525756884122,1.2280525756884122,1.2395212401620757,1.2395212401620757,1.2395212401620757,1.2566868601181982,1.2566868601181982,1.2566868601181982,1.2345733393144906,1.2345733393144906,1.2345733393144906
2019-11-10,0.6930265942184837,0.6930265942184837,0.6930265942184837,0.6683162879962331,0.6683162879962331,0.6683162879962331,0.6780297588295324,0.6780297588295324,0.6780297588295324,0.6560507343498392,0.6560507343498392,0.6560507343498392
2019-11-17,0.5819439939769472,0.5819439939769472,0.5819439939769472,0.5787136279867008,0.5787136279867008,0.5787136279867008,0.7056547839040017,0.7056547839040017,0.7056547839040017,0.6843903816129304,0.6843903816129304,0.6843903816129304
2019-11-24,0.13681225036725184,0.13681225036725184,0.13681225036725184,0.24704525277935047,0.24704525277935047,0.24704525277935047,0.2430860503040914,0.2430860503040914,0.2430860503040914,0.39636068501176214,0.39636068501176214,0.39636068501176214
2019-12-01,0.8197842737874623,0.8197842737874623,0.8197842737874623,0.9110840809540238,0.9110840809540238,0.9110840809540238,0.9896750828658055,0.9896750828658055,0.9896750828658055,1.0909914156194107,1.0909914156194107,1.0909914156194107
2019-12-08,1.6777228587201187,1.6777228587201187,1.6777228587201187,1.7118575975758168,1.7118575975758168,1.7118575975758168,1.7769770821344653,1.7769770821344653,1.7769770821344653,1.7391968873820491,1.7391968873820491,1.7391968873820491
2019-12-15,1.6523872789635081,1.6523872789635081,1.6523872789635081,1.603750750942282,1.603750750942282,1.603750750942282,1.713150191903827,1.713150191903827,1.713150191903827,1.7437316087392334,1.7437316087392334,1.7437316087392334
2019-12-22,1.577271115045121,1.577271115045121,1.577271115045121,1.5473681366584418,1.5473681366584418,1.5473681366584418,1.5417747306945289,1.5417747306945289,1.5417747306945289,1.5104749829652644,1.5104749829652644,1.5104749829652644
2019-12-29,1.6309329874737113,1.6309329874737113,1.6309329874737113,1.622517225194632,1.622517225194632,1.622517225194632,1.7239803446965771,1.7239803446965771,1.7239803446965771,1.7152668141383822,1.7152668141383822,1.7152668141383822
