Date,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_change
2017-09-24,25.65,25.65,25.65,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2017-10-01,25.45,25.45,25.45,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2017-10-08,25.56,25.56,25.56,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2017-10-15,25.9,25.9,25.9,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2017-10-22,25.85,25.85,25.85,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2017-10-29,25.55,25.55,25.55,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2017-11-05,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2017-11-12,25.64,25.64,25.64,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2017-11-19,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2017-11-26,25.9,25.9,25.9,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2017-12-03,25.81,25.81,25.81,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2017-12-10,25.66,25.66,25.66,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2017-12-17,25.9,25.9,25.9,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2017-12-24,25.5,25.5,25.5,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2017-12-31,25.56,25.56,25.56,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.48,25.48,25.48,0.0,0.0
